clade_name	CHS36	CHS31	CHS29	CHS27	CHS26	CHS22	CHS14	CHS03	CHS01
GGB51111_SGB71327	27.43337	0	37.1435	44.38393	28.1041	14.42096	51.28166	42.17575	4.33062
Methanobrevibacter_oralis	58.06733	0.36091	3.97163	13.4159	12.5451	3.87286	15.06948	16.10493	1.20592
Anaerolineaceae_bacterium_oral_taxon_439	1.19284	2.15077	17.99405	7.70454	16.14763	22.12848	0.14822	7.57818	13.99412
Actinomyces_dentalis	0.54135	19.10443	8.15192	4.0174	11.70918	6.06412	1.52069	5.19222	23.92405
Olsenella_sp_oral_taxon_807	0.04267	2.86961	15.52106	1.99032	3.78414	29.2896	0.09101	3.25304	9.90663
GGB51110_SGB71326	8.81497	0	0.06662	5.11742	1.30421	1.90873	23.96716	3.90849	0.61561
GGB50592_SGB70729	0.92604	0.01802	1.1168	3.4982	4.23213	0.16126	0.08881	4.4944	11.70424
Eubacterium_minutum	0.32842	4.01439	0.65772	2.32663	2.9212	3.39408	1.34184	2.25291	4.03461
GGB10852_SGB17523	0.23047	4.7429	1.13454	2.2805	3.83538	0.7775	0.03605	1.34471	4.63464
Desulfobulbus_oralis	0.04069	5.45414	2.26093	5.89529	1.7903	0.24741	0.10466	0.70201	1.03837
Pseudoramibacter_alactolyticus	0.17838	1.18974	0.20639	0.38572	0.84861	0	0.08903	0.97571	1.21308
Actinomyces_israelii	0.03633	9.47488	0.32917	0.39355	0.72143	0.41288	1.10387	0.36925	0.82064
Pseudopropionibacterium_propionicum	0.00131	7.19604	0.19906	0.07086	1.18851	0.25599	0.16125	0.44923	3.07072
Peptostreptococcaceae_bacterium_oral_taxon_113	0.99003	1.34161	0.7768	0.80881	0.57082	0.58683	0.09833	0.74049	4.03214
Streptococcus_sinensis	0	0.84531	0	0.01401	0.20728	4.69641	0.00487	2.01103	2.23062
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	0.03645	1.78638	0.87558	0.11098	1.08851	2.50973	0.05395	0.10932	0.45189
Fretibacterium_sp_OH1220_COT_178	0.00055	0.01185	3.91384	2.42117	1.24795	0	0	0.00486	0.0104
Eubacterium_saphenum	0.18269	2.0757	0	0.22688	0.43495	0.06827	0.60288	0.72	1.83124
Tannerella_forsythia	0.01923	5.0851	0	0.18062	0.10447	0.01769	0.17213	0.08597	0.06445
Schaalia_cardiffensis	0.04149	0	1.04265	0.15523	0.51037	2.44447	0.04805	0.21506	1.02971
GGB3386_SGB4474	0.01172	1.03005	0.09192	0.10618	1.44608	0.16493	0.00636	0.49608	1.77875
Phocaeicola_abscessus	0.00629	4.56207	0.00351	0.01189	0	0.01876	0.05816	0.07075	0.049
GGB12790_SGB19845	0	2.4444	0.00123	0.16194	0.1067	1.26885	0.03347	0.03913	0.24697
Candidatus_Nanoperiomorbus_periodonticus	0	0.13482	0.2538	0.14909	0.13008	2.14533	0.00365	0.48551	0.35012
Actinomyces_sp_oral_taxon_897	0	0.77866	0.03624	0.0322	0.11893	0.84962	0.00797	0.12386	0.59015
Parvimonas_micra	0	2.78342	0	0.03358	0.15216	0.2838	0.24683	0.2009	0.37409
Fretibacterium_fastidiosum	0.02796	0.73946	0.13814	0.56764	0.49556	0.07698	0.02427	0.2293	1.18636
Eubacterium_nodatum	0.0382	0.82074	0.02761	0.02281	0.06028	0.03238	1.26397	0.55401	0.29711
Actinomyces_oricola	0.37126	0.01332	0	0.0036	0.00791	0	8.00E-05	0.00175	0.0044
Mogibacterium_timidum	0.22342	0.42336	0	0.00667	0.00937	0.00049	0.66995	0.39073	0.33884
Actinobaculum_sp_oral_taxon_183	0	2.38544	0	0	0.01731	0.07818	0	0.00605	0
Treponema_denticola	0.00508	0.53268	0.1232	0.13021	0.62	0.30534	0.03516	0.12782	0.58791
Bacteroidetes_oral_taxon_274	0.00053	1.38669	0.01731	0.00531	0.23206	0.21146	0.06039	0.2143	0.27539
Desulfomicrobium_orale	0.00782	0	0	1.33657	0.56637	0.01498	0.00322	0.10996	0.17732
Coriobacteriales_bacterium_OH1046	0	0	1.97248	0	0	0	0	0.11595	0
Eubacterium_brachy	0.03621	1.44214	0	0.09225	0.12889	0	0.09348	0.09127	0.05848
Olsenella_uli	0.03553	0.38333	0	0	0	0.6925	0.33117	0.0276	0.13801
Fusobacterium_nucleatum	0.0064	1.31584	0	0.0703	0.08873	0.00183	0.14675	0.15798	0.03906
Johnsonella_ignava	0	1.23014	0.01234	0	0.02896	0	0.09894	0.12374	0.01668
Treponema_maltophilum	0.01652	0.56953	0.09376	0.16303	0.18624	0.07774	0.03908	0.10681	0.23935
Streptococcus_constellatus	0.0061	0.24087	0.14281	0.00483	0.36035	0.01244	0.01905	0.29516	0.37215
Actinomyces_massiliensis	0	0.86125	0	0.00176	0.00601	0.00323	0.00353	0.29103	0.01523
Pyramidobacter_piscolens	0.02823	0.06263	0.80911	0.14263	0.00077	0	0.03034	0.05547	0
Peptostreptococcus_stomatis	0	0.01201	0	0	0.00561	0.0059	0	0.14655	0.92205
Campylobacter_rectus	0.00048	0.36972	0	0.16565	0.0969	0	0.03985	0.07549	0.17796
Treponema_lecithinolyticum	0.0095	0.48008	0	0.06183	0.05541	0	9.51E-02	0.04213	0.04836
Treponema_SGB69443	0.01639	0.32704	0.03986	0.04969	0.10447	0.02674	0.02332	0.05209	0.0687
Ottowia_sp_Marseille_P4747	0	0.556	0	0	0	0	0	0.05978	0.06997
GGB49219_SGB69048	0	0.49254	0	0.02928	0.0037	0	0.07387	0.03234	0.01585
Bacteroidetes_unclassified_SGB1343	0	0.28618	0.00384	0.06151	0.11944	0.02608	0.01337	0.05552	0.0649
Filifactor_alocis	0.00722	0.11556	0.04787	0.33815	0.03511	0	0.0043	0.05372	0.02054
Schaalia_meyeri	0	0.3658	0	0.00601	0	0	0.04192	0.10143	0.03605
Actinomyces_johnsonii	0	0.38071	0	0	0	0	0.06402	0.05898	0.0182
Treponema_socranskii	0	0.07239	0.06186	0.10145	0.10113	0.03431	0.0031	0.04092	0.0578
Candidatus_Saccharibacteria_bacterium_oral_taxon_488	0	0.20402	0.00292	0	0.10417	0.00841	0.01525	0.03678	0.10467
Streptococcus_anginosus	0	0	0.27133	0	0.15396	0	0	0.02374	0.02244
Synergistes_jonesii	0	0	0.10527	0.34095	0.00731	0	0	0.00371	0
Actinomyces_oris	0	0.14037	0.0914	0	0.00728	0	0.00326	0.18307	0.0229
Actinomyces_gerencseriae	0	0.30281	0	0.00271	0.02504	0.01996	0.0075	0.01116	0.07741
Dialister_invisus	0	0.21262	0	0	0	0.08525	0.00146	0.01211	0.04981
Streptococcus_sanguinis	0	0.02299	0	0	0	0	0	0.27648	0.05471
Gemella_morbillorum	0	0.15899	0	0	0	0	0.00107	0.18033	0.01239
Porphyromonas_gingivalis	0.00295	0.13718	0	0.09946	0.02039	0	0.00228	0.00293	0.00873
Treponema_SGB69452	0.00016	0.00153	0.03372	0.07479	0.10677	0.00724	0.00016	0.02714	0.01847
Streptococcus_gordonii	0	0.11956	0	0	0	0	0	0.12568	0.001
Arachnia_SGB15898	0	0.07238	0.0846	0	0.01599	0	0	0.04185	0.00155
Candidatus_Saccharibacteria_bacterium_oral_taxon_955	0	0.01257	0	0	0	0	0	0.06149	0.05282
