clade_name	WAMP34	WAMP33	WAMP29	WAMP27	WAMP26	WAMP25	WAMP24	WAMP23	WAMP22	WAMP21	WAMP20	WAMP19	WAMP18	WAMP15	WAMP14	WAMP13	WAMP12	WAMP11	WAMP10	WAMP09	WAMP07	WAMP06	WAMP05	WAMP04	WAMP03	WAMP02	TAF018B	TAF018A	TAF017E	TAF017C	TAF017A	TAF008B	PYK005A	PYK004A	PYK003A	PYK002A	PYK001A	OAK005A	OAK004A	OAK003A	OAK002A	OAK001A	ESA008A	ESA007A	ESA006A	ESA004A	ESA003A	ERR3579826	ERR3579825	ERR3579824	ERR3579823	ERR3579822	ERR3579821	ERR3579820	ERR3579819	ERR3307054	ERR3307053	ERR3307052	ERR3307051	ERR3307050	ERR3307049	ERR3307048	ERR3307047	ERR3307046	ERR3307045	CS48	CS47	CS46	CS45	CS44	CS43	CS42	CS40	CS39	CS38	CS37	CS36	CS35	CS34	CS33	CS32	CS31	CS30	CS29	CS28	CS27	CS26	CS24	CS23	CS22	CS21	CS20	CS19	CS18	CS17	CS16	CS15	CS14	CS13	CS12	CS11	CS10	CS09	CS08	CS04	CS03	CS02	CS01	CHS36	CHS31	CHS29	CHS27	CHS26	CHS22	CHS14	CHS03	CHS01	Abusir1594	Abusir1574	Abusir1519	Edo10	Edo9	Edo8	Edo4	Edo3	Edo2	Edo1
Actinomyces_dentalis	9.0498	5.80562	3.63506	2.93006	0.73046	6.36152	2.35211	7.34605	3.71074	5.79889	3.18278	3.66775	5.66523	2.43675	13.86063	5.91733	8.15794	0.48299	3.42219	3.71379	5.596	4.43161	4.26956	0.44934	3.11529	4.72739	0.47987	0.9528	41.92244	2.79232	5.16584	12.53837	5.98306	14.97697	18.15221	7.31154	22.29228	22.78585	3.19597	5.35533	0.24327	12.32407	7.72628	9.6933	9.43548	5.26239	6.87212	17.79334	11.34449	7.59932	3.34862	6.27355	1.18661	4.09042	4.21968	12.23672	17.62659	11.77999	0.24291	0.63334	3.40105	7.61658	4.90766	0.00453	0.01003	2.03544	2.4039	1.84458	0.91708	4.38813	0.77287	1.02477	4.66117	1.61301	1.25634	0.60091	2.16138	1.6602	0.64134	1.9639	2.25033	1.63155	7.07151	0.0884	0.97724	6.15743	3.10791	1.40599	1.29697	0.46135	2.36299	1.40002	0.86403	0.1518	1.49876	1.16133	5.57965	1.76995	2.84685	2.41285	5.72408	1.97599	4.49869	4.57214	5.37055	2.93644	0.90872	1.57448	0.54135	19.10443	8.15192	4.0174	11.70918	6.06412	1.52069	5.19222	23.92405	0.59989	0	1.3838	7.14212	5.91856	0.7963	0.38684	0.87577	1.30836	3.58467
GGB10852_SGB17523	2.83872	5.56846	9.17399	3.37806	0.36253	17.18231	5.28148	9.69929	11.94876	2.98567	3.87201	5.34259	8.76772	2.84457	2.91211	9.58242	2.86965	1.33213	7.90788	2.32117	1.49763	4.76863	4.59103	1.33398	3.84906	1.48842	0.22505	0.27878	0	0.17583	0.05093	2.20991	2.11727	3.61218	2.83846	10.98739	6.6592	7.2542	0.37372	16.5628	0.25466	0.53156	8.30864	5.05055	13.16107	4.06203	6.51559	1.04414	1.13302	2.57846	0.99457	0.11719	0.84063	1.36189	2.68081	6.44127	2.30902	4.87504	0.13978	0.46811	0.73769	2.79188	1.67649	0.01408	0.08288	5.62898	4.54691	2.24087	1.97193	2.477	0.82236	0.92835	7.90969	1.78997	2.96002	0.78389	2.40591	0.94692	1.1871	2.54837	0.89594	1.56156	10.46137	0.137	0.21955	5.71307	7.88121	0.86908	2.24653	0.65046	2.89611	2.08518	2.19374	0.16497	3.68497	1.05225	4.84452	0.62929	0.66436	2.63965	4.0878	1.32395	2.8341	8.79651	7.12821	0.78767	1.97398	4.89643	0.23047	4.7429	1.13454	2.2805	3.83538	0.7775	0.03605	1.34471	4.63464	0.1501	0	1.85911	2.26024	1.04865	0.82278	0.52449	0.19774	1.6511	0.4369
Anaerolineaceae_bacterium_oral_taxon_439	6.46299	8.02181	9.00785	10.97557	8.264	8.95805	7.7785	5.03285	12.16014	8.36397	8.40049	16.36722	8.58233	2.32084	0	9.58058	6.46643	4.0947	5.88207	9.47187	3.02712	24.69336	10.05269	4.06796	3.4098	3.80989	0.2957	2.63566	0	0.19757	10.88102	14.21854	5.50839	3.40481	2.60646	0.84456	4.9924	0	0.02208	11.05018	0.25847	3.68126	5.81045	3.90705	8.65125	2.82487	4.64953	0.77804	0.26001	2.31445	1.58702	0.45716	0.20427	0.56274	1.30599	4.48527	4.38012	2.83552	0.07526	0.10404	0.16097	1.25937	0.4529	0	0.0012	2.12034	2.01248	0.53223	0.30618	1.32515	1.42144	0.71887	2.72487	2.21615	2.01369	1.36282	5.24763	4.09877	0.64938	4.21199	2.04012	2.01692	0.21745	0.05451	0.83373	0.94634	5.01672	1.29151	0.49431	0.72986	6.74925	1.85824	0.49196	0.01433	1.96106	0.33126	3.24742	0.34887	0.42074	1.20804	4.48761	0.90841	1.90375	0.5148	3.87146	0.92762	3.2147	0.92259	1.19284	2.15077	17.99405	7.70454	16.14763	22.12848	0.14822	7.57818	13.99412	0.1679	0	0.80318	3.63171	4.65656	2.68618	1.41142	0.61315	11.43724	2.73639
Desulfobulbus_oralis	2.65287	5.31309	4.41575	4.17765	2.13209	4.42469	2.62172	2.20446	4.40999	3.5813	4.53112	5.28824	5.65721	1.54117	0.08171	3.25977	1.26839	1.78292	3.77924	2.11393	1.47262	4.18533	3.53634	1.80354	3.8816	2.96818	0.29481	16.6113	0	0.26697	0	19.63159	4.05843	4.65282	5.57759	8.89481	6.04635	4.35118	0.51636	1.48403	0.0464	0.14649	2.22511	1.22694	0.77291	0.95242	0.41674	0.39381	0.297	1.31415	0.36541	0	0.1421	0.26354	2.10115	8.3354	0.98854	1.08841	0.04033	0	0.2439	1.87086	0.33178	0	0.00416	2.29783	1.69699	0.52891	0.96665	5.69965	1.24096	0.99655	10.95227	0.34399	4.16247	1.85584	2.22792	0.1983	1.67703	11.9022	3.15248	1.17653	8.30426	0.10899	0.31243	14.48667	3.30078	0.23814	1.3621	0.64109	0.409	0.342	2.27291	0	2.66575	2.34106	10.35511	0.29705	0.30644	3.02112	8.49796	1.59373	0.79205	4.71358	6.20472	0.5013	1.81049	1.24005	0.04069	5.45414	2.26093	5.89529	1.7903	0.24741	0.10466	0.70201	1.03837	0.4251	0	3.4788	0.6359	1.26842	0.37166	0.46756	1.11631	1.51081	0.88169
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	0.69615	28.19836	1.86928	4.2296	0.00392	2.27406	0.08324	0.78472	0.32984	2.42435	1.04616	9.89657	5.69558	4.42897	8.83206	5.85352	2.17627	0.29324	0	3.71947	1.44578	1.59185	0.50023	0.2939	2.95472	3.19645	0.01372	0.01975	0	0.31098	23.86813	2.87608	0.75448	1.47311	4.84201	9.34774	0.68919	3.87318	4.96792	1.04124	0.00627	48.51538	3.68592	9.21493	8.4579	4.5382	2.70798	3.52107	1.72253	2.3762	3.79396	2.04477	0.44136	1.04418	2.89828	11.83777	8.20175	7.53958	0.0486	0.37584	1.08101	1.36377	0.33881	0.00097	0	0.50726	1.07285	3.50344	0.27713	3.48802	0.09013	1.29165	2.81523	1.7036	0.62636	3.62434	1.32527	8.94776	1.9981	1.63188	2.5805	1.69616	12.77263	0.07006	0.40778	9.26108	0.31663	0.58354	0.17842	2.85606	0.6901	0.65439	0.26621	0.13708	0.37144	1.40055	4.2254	1.00802	1.44956	1.33657	6.886	1.47091	1.97785	1.45686	9.40547	0.45645	1.39292	2.11841	0.03645	1.78638	0.87558	0.11098	1.08851	2.50973	0.05395	0.10932	0.45189	1.83197	0	1.72594	1.98786	2.39482	0.09223	0.01186	0.44134	0.8614	0.24226
Pseudopropionibacterium_propionicum	2.37864	1.59872	0.90526	0.3541	0.08962	18.13774	4.959	7.39242	3.59361	0.28488	0.36565	2.18171	4.49293	2.3694	4.0259	1.03057	0.38689	2.6015	1.12304	0.30888	3.99255	3.08468	0.26285	2.79339	3.12138	6.2017	4.96115	1.76149	0	6.14126	0.1157	3.59729	0.23067	4.40254	0.72401	1.94679	2.93299	7.25609	14.41196	3.45498	2.0969	0.2139	2.51902	1.84323	7.90282	9.32851	6.60903	5.63068	9.38635	1.28324	4.4949	6.53156	3.89653	5.00898	2.61547	1.44225	0.70303	3.22359	0.77648	0.74377	6.32043	6.94345	3.89685	0.00938	0.26816	0.19678	0.64395	0.39982	0.28397	3.42205	0.00737	0.94297	0.13739	0.55667	0.04014	0.01863	0.49289	0.02659	1.50683	0.74997	0.27752	0.28348	2.5766	0.28927	0	0	0.61903	0.99444	2.61549	0.08286	1.18019	0.064	1.21493	0.19009	0.08389	3.9467	1.49392	1.70787	2.71041	0.11001	0.11412	0.84245	0.68032	3.24626	1.57243	0.13891	0.00361	1.64495	0.00131	7.19604	0.19906	0.07086	1.18851	0.25599	0.16125	0.44923	3.07072	0.23943	0	0.90389	0.86363	1.40853	0.06038	0.03332	5.78606	1.29312	0.17689
Eubacterium_minutum	3.34448	11.54318	7.68682	4.7911	22.78612	0.47603	1.6961	10.3344	7.4929	3.64227	4.07204	2.82277	11.40641	1.90586	0.20532	7.64203	4.71947	0.54688	5.69919	2.87952	0.78537	4.41791	5.92842	0.50537	3.62922	0.03194	2.06894	0.28468	0	1.02318	20.52282	0.64926	4.21169	2.3446	6.02719	8.30358	3.79347	1.79897	3.23204	7.74804	0.18962	2.91373	5.01851	3.22653	7.92257	1.94147	3.22243	0	0	0.65473	0.61887	0.11304	0.00951	0.7129	0.71709	1.7294	4.14011	1.77922	0.0202	0.02461	0.32958	1.24213	0.16787	0	0.01399	6.3471	4.34867	0.01261	0.86621	0.12608	1.72995	2.00905	20.52631	2.89052	6.68356	3.10031	5.76863	0.75354	1.08389	1.25152	2.49354	1.68877	0.66258	0.03845	0.71337	0.30195	3.79603	2.00842	0.71989	1.10306	9.33929	4.31976	1.40448	0.11494	4.42528	0.52089	15.8724	0.41876	0.27055	3.18593	5.77964	0.53979	1.54364	0.95519	1.81353	1.69941	1.31359	5.56764	0.32842	4.01439	0.65772	2.32663	2.9212	3.39408	1.34184	2.25291	4.03461	0.4168	0	2.49751	5.16864	3.28695	4.28203	1.81077	0.01751	3.46064	2.64214
Olsenella_sp_oral_taxon_807	9.10615	6.04866	1.79253	3.541	0.19452	1.75965	1.81075	2.69228	6.4508	9.87423	7.27294	15.13573	14.82425	2.35282	0.00744	4.35767	5.96945	0.59757	0.08667	8.93093	1.09476	2.50848	1.33939	0.61198	2.3521	0.04684	0	0	1.28304	0	0	11.7	1.21714	4.47084	1.61141	2.1074	10.1904	13.34725	0.55185	1.79785	0.03288	0.45787	5.85934	17.01484	2.27956	7.76495	4.41204	4.065	1.08616	4.91891	0.4562	2.93572	0.56185	2.52786	2.95171	3.37521	4.76338	2.98101	0.45158	0.1635	0.654	1.74071	0.35636	0	0	1.8196	2.23394	0.90016	0.14884	0.37403	0.41811	0.53716	0	1.32858	0.13601	0.64148	0.03444	0.04353	0.14668	0.23927	0.28057	1.25137	1.73154	0.02543	0.10202	0.29127	1.85674	0.31614	0.3097	0.98088	0.50105	0.51674	0.27125	0.01538	1.73414	0.15275	1.07373	1.42895	1.47772	2.75977	2.1089	0.22922	2.40386	0.68097	2.06338	0.95107	0.85259	0.44062	0.04267	2.86961	15.52106	1.99032	3.78414	29.2896	0.09101	3.25304	9.90663	1.04326	0	5.27117	5.38052	1.39822	1.07329	0.31772	0.36336	0.83407	0.82489
Bacteroidetes_oral_taxon_274	0.88371	1.09646	1.73581	0.43826	0.06346	4.9206	1.0338	3.4668	2.47448	0.89028	0.02465	0.84893	2.0263	1.54425	2.26558	1.98553	0.13972	0.63951	2.50201	0.09826	0.61596	1.89333	0.20247	0.6542	2.26303	0.35947	0.01414	0.01116	0	0.42016	0	0.43992	0.01956	1.09984	0.32512	1.30426	0.74327	3.71547	0.3734	0.15341	0.0172	0.03711	0.96461	1.27737	0.55419	0.74669	1.14066	0.15598	1.71882	1.73354	0.58194	1.41743	0.70862	0.63271	0.66508	4.14397	0.09587	0.87429	0.09129	0.30127	0.3385	1.4271	2.6919	0.05727	0.0246	0.98885	0.96082	2.61727	0.51561	1.52984	0.08355	0.47533	0.364	0.83245	0.20285	0.14155	0.27387	0.0328	0.3866	2.59731	0.47395	0.65562	7.48868	0.14274	0	0.68224	0.56307	0.52761	2.40959	0.4058	0.39219	0.1448	1.45589	0.24678	0.05955	1.41535	1.48313	2.02671	1.30212	1.74262	0.72988	0.5967	1.69865	5.32119	1.74589	0.12284	0.11303	2.15596	0.00053	1.38669	0.01731	0.00531	0.23206	0.21146	0.06039	0.2143	0.27539	0.05548	0	0.33669	0.05574	0.02336	0.0125	0.01347	0.08598	0.04651	0.01816
Tannerella_forsythia	0.13695	0.72581	1.38304	0.09802	0.18363	0.89183	0.33519	0.73877	1.05299	0.24972	0.31937	0.21308	0.62579	0.21379	0.00728	0.77596	0.12784	0.24377	0.38886	0.04136	0.12767	0.18727	0.15147	0.24607	0.91224	0.09384	0	0	0	0	0.37936	0.38229	0.45133	0.11294	2.41792	2.94868	1.24339	0.83272	0.05562	0.74843	0.01572	0.41865	0.38001	0.11755	0.31815	0.06847	0.23308	0.03362	0.77342	1.49761	2.36338	0.18726	0	0.38714	3.45416	5.14319	4.06467	0.78291	0	0.03471	0.44847	1.04089	0.38587	0.05308	0.01522	2.24455	0.9816	0.14629	0.24346	0.10263	0.46754	0.64772	15.93336	1.44247	2.12986	1.38934	7.47313	2.976	0.7517	1.62108	4.10338	2.81483	2.63355	0.06645	0.64086	14.5237	1.85285	0.7586	0.56826	0.11051	1.1856	0.04758	0.97457	0.04044	0.80046	0.75655	9.5044	0.06615	0.00831	0.94466	5.3918	1.20378	1.36025	1.07514	4.71178	0.10909	2.45536	1.17221	0.01923	5.0851	0	0.18062	0.10447	0.01769	0.17213	0.08597	0.06445	0.11447	0	0.04482	0.10722	0.24716	0.25563	0.15513	0.05685	0.09007	0.41162
