EC_ID	KEGG_ID	Name	Consumption_category
1.1.1.23	K00013	K00013: histidinol dehydrogenase [EC:1.1.1.23]	plant
1.1.1.95	K00058	K00058: D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	plant
1.14.13.-	K02294	K02294: beta-carotene hydroxylase [EC:1.14.13.-]	meat
1.14.13.-	K03185	K03185: 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]	meat
1.14.13.-	K06134	K06134: ubiquinone biosynthesis monooxygenase Coq7 [EC:1.14.13.-]	meat
1.14.13.-	K15760	K15760: toluene monooxygenase system protein A [EC:1.14.13.-]	meat
1.14.13.-	K15761	K15761: toluene monooxygenase system protein B [EC:1.14.13.-]	meat
1.14.13.-	K16242	K16242: phenol hydroxylase P3 protein [EC:1.14.13.-]	meat
1.14.13.-	K18223	K18223: propane monooxygenase large subunit [EC:1.14.13.-]	meat
1.14.13.-	K18371	K18371: acetone monooxygenase [EC:1.14.13.-]	meat
1.14.13.-	K18800	K18800: 2-octaprenylphenol hydroxylase [EC:1.14.13.-]	meat
1.2.1.16	K00135	K00135: succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	meat
1.2.4.4	K00166	K00166: 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	plant
1.2.4.4	K00167	K00167: 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	plant
1.2.4.4	K11381	K11381: 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	plant
1.2.7.7	K00186	"K00186: 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"	plant
1.2.7.7	K00187	"K00187: 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"	plant
1.2.7.7	K00188	"K00188: 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"	plant
1.2.7.7	K00189	"K00189: 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]"	plant
1.4.1.13	K00265	K00265: glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	plant
1.4.1.13	K00266	K00266: glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	plant
1.4.1.14	K00264	K00264: glutamate synthase (NADH) [EC:1.4.1.14]	plant
